Depth,Well,GR,RT,RHOB,NPHI,Facies
3376.5,14,6.3305,1.6399,2.6241,0.057,CB
3377,14,6.3118,1.9556,2.5281,0.07,CB
3377.5,14,5.384,2.3797,2.542,0.0787,CB
3378,14,7.4663,6.1425,2.559,0.0856,CB
3378.5,14,12.3822,7.6001,2.3891,0.1391,CB
3379,14,11.0166,5.9288,2.6158,0.172,SS
3379.5,14,7.1694,9.948,2.637,0.1369,CB
3380,14,9.3448,5.5414,2.472,0.1295,CB
3380.5,14,12.7206,1.8232,2.472,0.1674,CB
3381,14,9.2185,1.714,2.427,0.1781,CB
3381.5,14,11.4025,3.6815,2.423,0.1708,CB
3382,14,11.5697,3.1553,2.417,0.1533,CB
3382.5,14,11.8836,1.6236,2.402,0.1815,CB
3383,14,9.9071,1.622,2.385,0.1751,CB
3383.5,14,10.9737,1.6009,2.3491,0.1782,SS
3384,14,8.9724,1.5724,2.392,0.1771,SS
3384.5,14,13.1741,1.568,2.4789,0.1527,CB
3385,14,8.5215,1.4031,2.4222,0.1132,CB
3385.5,14,13.3609,1.2121,2.432,0.1635,CB
3386,14,12.2888,1.3009,2.4059,0.1934,CB
3386.5,14,11.1982,3.4172,2.386,0.1914,SS
3387,14,11.6644,1.5027,2.373,0.2068,SS
3387.5,14,9.6622,1.4849,2.339,0.1921,SS
3388,14,11.4938,1.4909,2.3301,0.1841,SS
3388.5,14,9.6849,1.365,2.35,0.18,SS
3389,14,12.0003,1.3257,2.3909,0.2285,SS
3389.5,14,10.6505,1.1572,2.3731,0.2034,SS
3390,14,14.1516,1.0141,2.4001,0.1824,SS
3390.5,14,15.0194,1.6199,2.457,0.1838,SS
3391,14,14.4199,1.7531,2.383,0.1778,CB
3391.5,14,13.0632,1.4184,2.339,0.1866,SS
3392,14,14.7245,1.1483,2.3701,0.1989,SS
3392.5,14,14.7703,1.3297,2.431,0.1865,SS
3393,14,15.807,1.7842,2.44,0.1787,SS
3393.5,14,15.6107,1.7861,2.4311,0.1816,SS
3394,14,16.778,1.6413,2.4569,0.1876,SS
3394.5,14,17.7234,1.6447,2.4878,0.1877,SS
3395,14,21.3034,1.529,2.5439,0.1707,SS
3395.5,14,17.5371,2.2711,2.4151,0.1782,SS
3396,14,19.5195,1.6201,2.4461,0.1702,SS
3396.5,14,16.6597,1.7647,2.4489,0.1733,SS
3397,14,17.5844,1.7142,2.5041,0.1753,SS
3397.5,14,19.6298,1.9466,2.5029,0.1638,SS
3398,14,11.4497,2.125,2.479,0.1627,CB
3398.5,14,13.9778,2.2359,2.451,0.1468,CB
3399,14,12.1507,2.8689,2.455,0.1545,CB
3399.5,14,10.8161,2.4271,2.4341,0.1215,CB
3400,14,6.034,2.2182,2.646,0.0671,CB
3400.5,14,10.4173,2.391,2.3713,0.1239,CB
3401,14,8.764,2.6738,2.308,0.1884,SS
3401.5,14,11.8576,6.641,2.3492,0.1747,SS
3402,14,10.3012,1.4391,2.5697,0.0906,CB
3402.5,14,7.7223,1.1349,2.5191,0.1201,CB
3403,14,8.1118,1.8113,2.465,0.1324,CB
3403.5,14,6.1342,2.5831,2.5529,0.112,CB
3404,14,5.0524,2.5197,2.5949,0.0761,CB
3404.5,14,7.3552,2.5042,2.644,0.0424,CB
3405,14,15.5632,2.4641,2.627,0.0557,CB
3405.5,14,8.0694,5.3663,2.635,0.0745,CB
3406,14,5.7779,4.9832,2.657,0.0463,CB
3406.5,14,10.0499,8.0388,2.645,0.045,CB
3407,14,4.8079,6.7627,2.629,0.0467,CB
3407.5,14,6.3802,10.0409,2.606,0.0441,CB
3408,14,6.0313,9.5853,2.574,0.0648,CB
3408.5,14,5.5171,10.5861,2.6109,0.0722,CB
3409,14,7.4776,8.1825,2.635,0.0591,CB
3409.5,14,6.3141,7.489,2.5601,0.0682,CB
3410,14,5.2014,8.2409,2.5579,0.0801,CB
3410.5,14,5.4713,7.0897,2.54,0.0753,CB
3411,14,6.3492,5.3115,2.607,0.0566,CB
3411.5,14,6.5119,4.2481,2.6211,0.0509,CB
3412,14,5.7798,5.4394,2.567,0.0671,CB
3412.5,14,7.9725,6.927,2.6128,0.061,CB
3413,14,7.6176,7.7135,2.589,0.0584,CB
3413.5,14,6.4775,5.9376,2.599,0.0663,CB
3414,14,6.8279,5.4929,2.5611,0.0667,CB
3414.5,14,5.1157,8.3445,2.488,0.0863,CB
3415,14,4.2745,6.6989,2.477,0.0919,CB
3415.5,14,4.4373,11.9627,2.486,0.1084,CB
3416,14,4.7548,5.5027,2.503,0.0921,CB
3416.5,14,4.8991,3.0957,2.5979,0.0725,CB
3417,14,6.9763,3.1911,2.573,0.0715,CB
3417.5,14,11.8857,4.8528,2.4599,0.1053,CB
3418,14,9.8339,6.396,2.4889,0.1604,CB
3418.5,14,11.6427,5.2577,2.569,0.1321,CB
3419,14,5.2557,3.659,2.542,0.0677,CB
3419.5,14,5.8608,2.8961,2.532,0.0893,CB
3420,14,6.2376,9.4226,2.526,0.0874,CB
3420.5,14,5.2795,9.5832,2.5191,0.0888,CB
3421,14,5.9236,3.5483,2.5389,0.0945,CB
3421.5,14,6.817,4.1931,2.51,0.09,CB
3422,14,5.861,4.0302,2.517,0.0907,CB
3422.5,14,6.1889,4.1172,2.5761,0.0742,CB
3423,14,7.6448,4.0826,2.5861,0.0662,CB
3423.5,14,7.3722,3.806,2.595,0.0577,CB
3424,14,5.6233,4.5418,2.5531,0.0719,CB
3424.5,14,6.2522,5.8519,2.57,0.0654,CB
3425,14,6.474,5.7316,2.54,0.0635,CB
3425.5,14,4.7583,5.0893,2.528,0.0816,CB
3426,14,5.539,5.6584,2.602,0.0632,CB
3426.5,14,5.7955,5.0753,2.639,0.0499,CB
